"","district","Total_places","Private_Hospital","Govt_Dispen","Home_LHV","Other","Percent_Private_Hospitals","Percent_Govt_Hospitals","Percent_Home","Percent_Others"
"65","Sheikhupura",486,189,227,70,5,38.8888888888889,46.7078189300411,14.40329218107,1.02880658436214
"66","Sialkot",428,233,108,87,2,54.4392523364486,25.2336448598131,20.3271028037383,0.467289719626168
"67","T.T. Singh",405,269,131,5,1,66.4197530864197,32.3456790123457,1.23456790123457,0.246913580246914
"68","Vehari",439,208,116,115,5,47.380410022779,26.4236902050114,26.1958997722096,1.13895216400911
"69","Badin",151,44,88,19,2,29.1390728476821,58.2781456953642,12.5827814569536,1.32450331125828
"70","Dadu",108,39,58,11,0,36.1111111111111,53.7037037037037,10.1851851851852,0
"71","Ghotki",223,129,92,2,1,57.847533632287,41.2556053811659,0.896860986547085,0.448430493273543
"72","Hyderabad",22,5,17,0,0,22.7272727272727,77.2727272727273,0,0
"73","Jacobabad",181,107,53,21,4,59.1160220994475,29.2817679558011,11.6022099447514,2.20994475138122
"74","Jamshoro",88,15,69,4,0,17.0454545454545,78.4090909090909,4.54545454545455,0
"75","Karachi Malir",62,16,42,4,0,25.8064516129032,67.741935483871,6.45161290322581,0
"76","Karachi West",20,6,13,1,0,30,65,5,0
"77","Kashmore",152,92,16,44,0,60.5263157894737,10.5263157894737,28.9473684210526,0
"78","Khairpur",305,89,185,31,0,29.1803278688525,60.655737704918,10.1639344262295,0
"79","Larkana",80,21,36,23,2,26.25,45,28.75,2.5
"80","Matiari",114,68,43,3,0,59.6491228070175,37.719298245614,2.63157894736842,0
"81","Mir Pur Khas",148,57,51,40,0,38.5135135135135,34.4594594594595,27.027027027027,0
"82","Nowshero Feroze",182,108,64,10,0,59.3406593406593,35.1648351648352,5.49450549450549,0
"83","Sanghar",251,65,174,12,3,25.8964143426295,69.3227091633466,4.7808764940239,1.19521912350598
"84","Shahdadkot",69,18,17,34,0,26.0869565217391,24.6376811594203,49.2753623188406,0
"85","Shaheed Banazir Abad",242,118,104,20,2,48.7603305785124,42.9752066115703,8.26446280991736,0.826446280991736
"86","Shikarpur",141,80,59,2,2,56.7375886524823,41.8439716312057,1.41843971631206,1.41843971631206
"87","Sujawal",175,25,69,81,1,14.2857142857143,39.4285714285714,46.2857142857143,0.571428571428571
